num_clients,avg_set_rt_ms,set_rt_ms_25,set_rt_ms_50,set_rt_ms_75,set_rt_ms_90,set_rt_ms_99,conf_set_rt_ms,avg_set_tp_s,conf_set_tp_s,avg_interactive_set_rt_ms,avg_set_think_time,conf_interactive_set_rt_ms,avg_set_time_in_queue_ms,conf_set_time_in_queue_ms,avg_get_rt_ms,get_rt_ms_25,get_rt_ms_50,get_rt_ms_75,get_rt_ms_90,get_rt_ms_99,conf_get_rt_ms,avg_get_tp_s,conf_get_tp_s,avg_interactive_get_rt_ms,avg_get_think_time,conf_interactive_get_rt_ms,avg_queue_length,conf_queue_length,avg_get_service_time_ms,conf_get_service_time_ms,avg_set_service_time_ms,conf_set_service_time_ms,avg_get_time_in_queue_ms,conf_get_time_in_queue_ms,miss_rate,num_workers
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2613708928360357,0.7971362499999999,0.956836,1.2841505,1.8556409999999999,6.13241167,0.009042902135388166,439.7401129943503,4.58312059376345,2.242161154315595,3.190930332502505e-05,0,0.0,0.0,1.1018855208263738,0.008989715927204676,0,0,0.07724066222987383,0.0005837373144502225,0.013541639900300639,8
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1626732554610482,0.729629,0.872134,1.142851,1.632961,6.065927360000001,0.013697280421283342,969.1129943502825,9.963502941150276,2.0329876502189084,3.075518643642915e-05,0,0.3369847201413139,0.0022369195693579787,1.0018567474305233,0.013655359923347985,0,0,0.08695598457439675,0.0008387982861499402,0.013431817784333043,8
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.189995841714908,0.680927,0.815735,1.055142,1.529965,6.2549686,0.02530491727387058,1976.0055555555555,53.4756771909642,1.994301631594041,2.9984175069795693e-05,0,0.7174434394865061,0.002935165690402012,1.0056122938222734,0.024231260350468162,0,0,0.11616602304874311,0.0072710368902704865,0.013219710920740776,8
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5449566259864684,0.707229,0.861631,1.145747,2.0392840000000003,6.800225800000005,0.04172128070631321,2570.090395480226,117.95905289726379,2.302942461684392,3.160577465454401e-05,0,1.123260629668547,0.0036836392675226857,1.3269821454893975,0.04169570670766486,0,0,0.1490730388190087,0.0011454546063837875,0.013022470576338848,8
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.626847376863681,0.740929,0.912936,1.253449,3.7434070000000093,7.272399279999996,0.021678321326462708,2848.4576271186443,75.8174437402544,2.4260112254724033,3.1459067698447175e-05,0,1.3399084051831003,0.004054328741807471,1.4078947506530437,0.021649418981359147,0,0,0.14975415316049717,0.0009449170801076229,0.013384188489359888,8
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7895269225899233,0.77963,0.981237,1.474157,5.095936700000002,8.144859999999998,0.0058380861949977846,2947.5777777777776,8.364824332397529,2.6804678142731135,3.362511325306655e-05,0,1.5411486644401053,0.004400075261197951,1.5418132445642754,0.0057582210559682274,0,0,0.17464301898545706,0.0010219797053469043,0.01429422275163788,8
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.389914674306607,0.789028,0.944938,1.2680505,1.8374732,6.244049480000006,0.06290088780137598,414.1186440677966,14.318289005447765,2.3821578137764496,3.260909982400851e-05,0,0.0,0.0,1.2303644410837802,0.06288462053762,0,0,0.07693859060833028,0.0006907220471852098,0.013519966165977709,16
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.411248182151463,0.723329,0.8674345,1.14696275,1.681066,6.298014000000008,0.05802796205404394,876.8700564971751,37.72606298717196,2.2487114024135666,3.2128255847067776e-05,0,0.28562040127314664,0.0022473067254854258,1.249839017679729,0.05801405901896574,0,0,0.08548066410448048,0.0009472893537291309,0.013382214605105473,16
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1683111883526702,0.681126,0.810832,1.037441,1.490158,6.3078765,0.01943312776181545,2026.7005649717514,52.052297741839936,1.9418767848971081,3.1774414068118834e-05,0,0.721985582310733,0.0029209980943897696,0.9904846654103688,0.019403180387524595,0,0,0.10760774802216731,0.0008797377769333433,0.01337232316587033,16
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3610096276638084,0.699327,0.85054,1.1223515000000002,2.014278,6.727036459999988,0.0175400437204797,2768.062146892655,72.16180486260855,2.1369615757112506,3.0619815745376534e-05,0,1.105831855282306,0.003539648330762242,1.155326209763505,0.01750730169182916,0,0,0.13802364288790417,0.0009436320081019589,0.013211633095008236,16
