num_clients,avg_set_rt_ms,set_rt_ms_25,set_rt_ms_50,set_rt_ms_75,set_rt_ms_90,set_rt_ms_99,conf_set_rt_ms,avg_set_tp_s,conf_set_tp_s,avg_get_rt_ms,get_rt_ms_25,get_rt_ms_50,get_rt_ms_75,get_rt_ms_90,get_rt_ms_99,conf_get_rt_ms,avg_get_tp_s,conf_get_tp_s,miss_rate,num_workers
6,0,0,0,0,0,0,0,0,0,2.305661111111111,2.195,2.322,2.42525,2.5300000000000002,2.69521,0.01058185542678875,2606.3777777777777,23.879251849674855,0.013368915566090019,8
12,0,0,0,0,0,0,0,0,0,4.0456412037037035,3.882,4.003,4.13425,4.3980999999999995,4.77882,0.014974277309543363,2974.633333333333,7.811507848220989,0.013424623763152881,8
24,0,0,0,0,0,0,0,0,0,8.068769212962964,7.8580000000000005,8.039,8.234,8.5003,9.045860000000001,0.010168981855831411,2976.133333333333,5.266445276444324,0.014269073966220151,8
48,0,0,0,0,0,0,0,0,0,18.757221690962098,15.6995,15.977000000000002,16.326,16.677,43.628620000000026,1.131841201529057,2995.150289017341,12.738490720755756,0.017136751500349958,8
96,0,0,0,0,0,0,0,0,0,32.2434197337963,31.771,32.218999999999994,32.681000000000004,33.177,33.94142,0.010215351846458179,2977.811111111111,4.764823538356843,0.015522214303571228,8
144,0,0,0,0,0,0,0,0,0,48.53289726080248,47.932,48.461999999999996,49.125,49.743,50.847,0.011302009531277041,2967.438888888889,5.0450812522136195,0.012109207528377445,8
192,0,0,0,0,0,0,0,0,0,64.9139972800926,64.29,64.85199999999999,65.58200000000001,66.302,67.88923,0.02185220999573304,2959.511111111111,5.2205149810753575,0.008514919881662137,8
240,0,0,0,0,0,0,0,0,0,85.16680808529541,79.56299999999999,80.959,81.996,83.01499999999999,231.00599999999946,0.5732165868784195,2966.53216374269,16.597437477639158,0.009236813665155654,8
6,0,0,0,0,0,0,0,0,0,2.5533638888888888,2.16175,2.279,2.39225,2.4852000000000007,4.4106500000000315,0.2798204090711204,2620.811111111111,35.74877395647865,0.01366837238683529,16
12,0,0,0,0,0,0,0,0,0,4.025125,3.9137500000000003,3.9955000000000003,4.105,4.26,4.526279999999999,0.007379968792345745,2979.711111111111,5.386694468853729,0.013726162864408928,16
24,0,0,0,0,0,0,0,0,0,8.066586805555556,7.781999999999999,7.993,8.248999999999999,8.687000000000001,9.474430000000002,0.013563265057969499,2980.811111111111,5.417446301695469,0.014576569390136167,16
48,0,0,0,0,0,0,0,0,0,16.080619907407407,15.803999999999998,15.934999999999997,16.355999999999998,16.671000000000003,17.836000000000002,0.01066371258142375,2986.1111111111113,4.282352883285132,0.017413953488372092,16
96,0,0,0,0,0,0,0,0,0,32.19105873842592,31.697000000000003,32.171,32.715,33.309,35.017210000000006,0.013342845784446729,2983.516666666667,4.768367635198359,0.015814670606834218,16
144,0,0,0,0,0,0,0,0,0,48.54867353395062,47.619,48.363,49.143,49.9781,52.645,0.037541076283024846,2971.733333333333,7.287993787221709,0.012172095597032783,16
192,0,0,0,0,0,0,0,0,0,64.9425162037037,63.64199999999999,64.594,65.60499999999999,66.62899999999999,69.28286999999997,0.037533222369536066,2961.6055555555554,5.875364762657919,0.00849389126393529,16
240,0,0,0,0,0,0,0,0,0,80.96638791666668,79.795,80.786,81.998,83.14009999999999,84.51102,0.014365974432364249,2964.811111111111,4.158011224490522,0.009539674627950816,16
6,0,0,0,0,0,0,0,0,0,2.2852111111111113,2.192,2.2885,2.375,2.4699999999999998,2.70284,0.009315675683947106,2625.85,19.014725162569913,0.013857946527367857,32
12,0,0,0,0,0,0,0,0,0,4.02784675925926,3.928,4.009,4.10425,4.2322999999999995,4.489,0.006527902031428183,2976.616666666667,5.405956337736377,0.013831885940599973,32
24,0,0,0,0,0,0,0,0,0,8.073888657407407,7.809,7.986,8.25225,8.6571,9.236530000000005,0.01149063112033665,2976.0333333333333,4.801742389117341,0.01128832935712339,32
48,0,0,0,0,0,0,0,0,0,16.24442662037037,15.616999999999999,15.873999999999999,16.403000000000002,17.237,22.940250000000017,0.051323514704705454,2980.588888888889,10.81201952089184,0.013880553059984417,32
96,0,0,0,0,0,0,0,0,0,32.61498431712964,31.203,31.778000000000002,33.32900000000001,35.546099999999996,38.18647,0.05631996378220317,2965.0777777777776,11.446798311612296,0.012581644850987608,32
144,0,0,0,0,0,0,0,0,0,48.69325941358024,46.903,48.333999999999996,49.964,51.819,54.78420000000003,0.03412598872907103,2964.338888888889,4.6609818793016,0.00948871867626471,32
192,0,0,0,0,0,0,0,0,0,65.28581701388887,63.444,64.54400000000001,66.646,68.76599999999999,73.64441,0.041337887565634786,2948.6222222222223,8.465635289540135,0.006763987700470276,32
240,0,0,0,0,0,0,0,0,0,81.20202976851851,79.334,80.704,83.146,84.715,88.15204000000001,0.026136063902781972,2958.3888888888887,4.436887168272633,0.0072975155396142796,32
6,0,0,0,0,0,0,0,0,0,2.441571296296296,2.05375,2.2045,2.316,2.4112,2.774720000000001,0.4635166073824816,2728.027777777778,20.681195039385926,0.010473581850950524,64
12,0,0,0,0,0,0,0,0,0,4.060512962962963,3.8909999999999996,4.007000000000001,4.186999999999999,4.3950000000000005,4.8680399999999935,0.012339435578179766,2961.2277777777776,7.667807899280895,0.010534294146009256,64
24,0,0,0,0,0,0,0,0,0,8.084191435185184,7.8069999999999995,7.987000000000001,8.2725,8.683,9.233720000000003,0.011941610172468264,2972.5777777777776,4.512627599295191,0.011318272206689293,64
48,0,0,0,0,0,0,0,0,0,16.381362847222224,15.621,15.872999999999998,16.387999999999998,17.225,28.801880000000004,0.058134199587704154,2967.0555555555557,12.849041998477547,0.01398693055217481,64
96,0,0,0,0,0,0,0,0,0,32.55890445601852,30.724,32.256,33.978249999999996,36.245,41.381829999999894,0.0508524976121849,2971.561111111111,8.115240550135566,0.012494367906132392,64
144,0,0,0,0,0,0,0,0,0,48.82660212191358,46.152,48.379000000000005,50.96000000000001,53.4531,59.669,0.04487849384974448,2964.5,4.776238158815018,0.009506943273177039,64
192,0,0,0,0,0,0,0,0,0,65.50921009837964,62.45075,64.50999999999999,67.676,70.8061,88.05278999999993,0.08017202995828161,2954.927777777778,8.346389214657222,0.006757074340978441,64
240,0,0,0,0,0,0,0,0,0,81.40126317129629,78.136,80.709,83.358,86.67099999999999,95.23807000000001,0.04789049728588461,2957.133333333333,5.4430173871527066,0.007251767853251272,64
