num_clients,avg_set_rt_ms,set_rt_ms_25,set_rt_ms_50,set_rt_ms_75,set_rt_ms_90,set_rt_ms_99,conf_set_rt_ms,avg_set_tp_s,conf_set_tp_s,avg_interactive_set_rt_ms,avg_set_think_time,conf_interactive_set_rt_ms,avg_set_time_in_queue_ms,conf_set_time_in_queue_ms,avg_get_rt_ms,get_rt_ms_25,get_rt_ms_50,get_rt_ms_75,get_rt_ms_90,get_rt_ms_99,conf_get_rt_ms,avg_get_tp_s,conf_get_tp_s,avg_interactive_get_rt_ms,avg_get_think_time,conf_interactive_get_rt_ms,avg_queue_length,conf_queue_length,avg_get_service_time_ms,conf_get_service_time_ms,avg_set_service_time_ms,conf_set_service_time_ms,avg_get_time_in_queue_ms,conf_get_time_in_queue_ms,miss_rate,num_workers
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1888964761232839,0.730929,0.860135,1.14814525,1.8117609999999993,6.125609999999997,0.006392868816505058,901.6222222222223,7.415443964169437,1.0777341878650828,3.1377783150124464e-05,0,0.0,0.0,1.0311234534419442,0.006348334245467686,0,0,0.07708745396569146,0.0004801209850387674,0.015872624651862077,8
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.077523419265838,0.677127,0.796632,1.021141,1.4847587,6.23244562999999,0.0041244023616251275,2103.0169491525426,14.717467836660136,0.9203131055572569,3.0701578754224487e-05,0,0.27289823068285,0.0014310229401239979,0.9230953603727764,0.004055422086873151,0,0,0.08125133835436847,0.0005927094822069728,0.015788455648866037,8
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2371954681038502,0.691828,0.826233,1.090343,2.0785613000000045,6.491482549999991,0.004075222972097318,2956.45197740113,10.912331334345039,0.9841208118851427,3.060901391001583e-05,0,0.5630202640208526,0.0019367093038612883,1.070817806584087,0.004012367025960342,0,0,0.09587623174059606,0.0006216949662982087,0.015637540799400718,8
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8608771288711352,0.77563,0.945737,1.351754,5.5661190000000005,8.123073549999999,0.011210496502695719,2933.0333333333333,35.4457049365738,1.331966632335504,3.18092083754778e-05,0,0.8345304254601796,0.0025684406969237027,1.6639732854761662,0.011182712702940497,0,0,0.12358701177582553,0.00074111854910583,0.015700469366185178,8
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.224152954162664,0.7310537500000001,0.854333,1.137345,1.7300675,6.251317100000006,0.028270699375625825,905.6836158192091,18.68714839573665,1.0719581976719523,3.218013776153108e-05,0,0.0,0.0,1.062275578867915,0.02825615168409565,0,0,0.079133887933078,0.0005855050321668239,0.015913315783563933,16
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0855726201203237,0.684027,0.801532,1.01914,1.494559,6.207832549999994,0.004180289887709847,2082.892655367232,18.365287062213703,0.9285814737137619,3.162163365539015e-05,0,0.28494162833087405,0.0014570863226241349,0.9271732075666175,0.004118501551111704,0,0,0.08336482042845673,0.0005783822721951521,0.01583521395712178,16
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.230330565082613,0.703927,0.835834,1.084143,2.010189900000004,6.510139049999999,0.00401774675709086,2954.3502824858756,11.216284400819696,0.9837445220817717,3.170717225005737e-05,0,0.5715386674825977,0.001945232463591592,1.057569328893521,0.00394638572298352,0,0,0.10005659927713612,0.0006383460361927826,0.01569456130956934,16
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8594771590798147,0.773831,0.949237,1.389155,5.6562233,8.258067740000001,0.006341277799081587,2958.822222222222,11.303300166791878,1.3190169228841053,3.287234236407881e-05,0,0.7928943198119371,0.002494775134123517,1.662480573388811,0.006284525983743162,0,0,0.12214019164532434,0.0007449344009922358,0.015734488948305255,16
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1795546774234944,0.74202975,0.8671344999999999,1.14937075,1.713198000000002,6.186854349999999,0.006279746676719528,924.5649717514125,7.8620490600624775,1.048487165807098,3.310258781042237e-05,0,0.0,0.0,1.0189187144297518,0.006235341664591962,0,0,0.07673217150835941,0.0004883318319149889,0.015759434884630427,32
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.120230464248583,0.713429,0.837033,1.067942,1.533580600000001,6.281597619999998,0.004349858284659788,1982.4388888888889,13.07240638007525,0.974946556124751,3.391178054809032e-05,0,0.34207023335453807,0.0015565674081038617,0.9556947846731997,0.004297431402158201,0,0,0.08602307946440832,0.000516109456194484,0.01576621389478168,32
