num_clients,avg_set_rt_ms,set_rt_ms_25,set_rt_ms_50,set_rt_ms_75,set_rt_ms_90,set_rt_ms_99,conf_set_rt_ms,avg_set_tp_s,max_set_tp_s,conf_set_tp_s,avg_interactive_set_rt_ms,avg_set_think_time,conf_interactive_set_rt_ms,avg_set_time_in_queue_ms,conf_set_time_in_queue_ms,avg_get_rt_ms,get_rt_ms_25,get_rt_ms_50,get_rt_ms_75,get_rt_ms_90,get_rt_ms_99,conf_get_rt_ms,avg_get_tp_s,max_get_tp_s,conf_get_tp_s,avg_interactive_get_rt_ms,avg_get_think_time,conf_interactive_get_rt_ms,avg_queue_length,conf_queue_length,avg_get_service_time_ms,conf_get_service_time_ms,avg_set_service_time_ms,conf_set_service_time_ms,avg_get_time_in_queue_ms,conf_get_time_in_queue_ms,miss_rate,num_workers
6,1.0735987461910337,0.65972,0.887702,1.25881,1.7649134000000002,3.6150028799999925,0.002727583507414331,3037.1881720430106,3528,32.00832000381194,0.9713491881179005,1.640653528925488e-05,0,0.07170860251328957,0.0005345761819721491,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2236912679207742,0.0012130583443564307,0,0,0.8840179949479305,0.0025546558252884234,0,0,0,8
12,1.019412395642111,0.607002,0.805703,1.136011,1.637304,4.784154779999994,0.0016565971007772768,6478.919354838709,7325,57.44899259196404,0.9107270585687743,1.5353306286973713e-05,0,0.09656346629971979,0.0005122762092121852,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6167280319381551,0.0015240661786527694,0,0,0.8105460391791741,0.0014765380025572347,0,0,0,8
24,1.811037076021255,0.682306,0.950401,1.513812,6.6721087,8.58192,0.004285828065929209,9207.52688172043,10288,95.28874809836934,1.28787271955623,1.540884064463388e-05,0,0.42108132174880275,0.001910943162170641,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1416314375802872,0.0020551298706837787,0,0,1.2829804760644627,0.00380060964904912,0,0,0,8
48,3.8516708737502987,1.611204,2.366609,6.957652,8.863824,10.755112199999994,0.004522462398163448,10376.13440860215,11218,47.18408989366251,2.2970559481476567,1.5944159108396483e-05,0,2.3036555407570405,0.003902522647117356,0,0,0,0,0,0,0,0,0,0,0,0,0,8.843489065323082,0.004545882150800503,0,0,1.4456926511411377,0.002753696737177101,0,0,0,8
96,8.385488456304879,4.743314,9.660821,11.211631,12.2933008,15.650369339999987,0.008302365038165917,10311.736559139785,12808,106.33158199382133,4.638695818149066,1.619424083477278e-05,0,6.821013861128596,0.006566090395657757,0,0,0,0,0,0,0,0,0,0,0,0,0,32.015201386039394,0.006349663934726479,0,0,1.4623141596390592,0.005593578928711014,0,0,0,8
144,13.044180972450691,11.4712865,13.282421,14.715928,16.485438,23.02907174,0.005480338332818453,10408.70430107527,12147,53.2263404793561,6.9011122809032335,1.617520439520481e-05,0,11.492535107507216,0.004908191640247141,0,0,0,0,0,0,0,0,0,0,0,0,0,56.29775637532483,0.005936746316628176,0,0,1.4509310629998988,0.0035165613571260237,0,0,0,8
192,17.556750534376246,14.85344425,16.850242,20.643974,23.6772245,27.84695455000002,0.006232469335691993,10426.053763440861,11377,50.049069509575304,9.191012445368457,1.66899296783389e-05,0,16.008887633887596,0.005859028991810815,0,0,0,0,0,0,0,0,0,0,0,0,0,79.89396497401567,0.007463593563802358,0,0,1.4458341548075901,0.002778516282816023,0,0,0,8
240,21.932829883122658,18.4166015,21.946865,25.585166,27.509533,34.77525775999992,0.006875954085484979,10487.97311827957,11346,63.64284098004208,11.425064799849599,1.6612123487578964e-05,0,20.397089879889577,0.006763626819062312,0,0,0,0,0,0,0,0,0,0,0,0,0,103.64843653483278,0.009734627657073941,0,0,1.4320082231947182,0.0027283002325388024,0,0,0,8
6,1.1454109868794817,0.685102,0.930903,1.31831125,1.8362160000000003,3.838942329999983,0.008368058327894664,2944.989247311828,3313,47.570713621273605,1.0022310452855954,1.6448395645601787e-05,0,0.06978724769427935,0.0005258203788026328,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19166143330753166,0.0011397338757684178,0,0,0.9561931697050577,0.008342288561824186,0,0,0,16
12,1.0363941964727275,0.632002,0.836006,1.165409,1.6640122000000002,4.439347659999976,0.0014734732072946932,6494.403225806452,7155,40.9639436639724,0.908309009670858,1.5563406528698393e-05,0,0.09533859174442183,0.0004762571576142996,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6379438374977958,0.0015454096986571178,0,0,0.8274057999460247,0.0012974983059573827,0,0,0,16
