num_clients,avg_set_rt_ms,set_rt_ms_25,set_rt_ms_50,set_rt_ms_75,set_rt_ms_90,set_rt_ms_99,conf_set_rt_ms,avg_set_tp_s,max_set_tp_s,conf_set_tp_s,avg_interactive_set_rt_ms,avg_set_think_time,conf_interactive_set_rt_ms,avg_set_time_in_queue_ms,conf_set_time_in_queue_ms,avg_get_rt_ms,get_rt_ms_25,get_rt_ms_50,get_rt_ms_75,get_rt_ms_90,get_rt_ms_99,conf_get_rt_ms,avg_get_tp_s,max_get_tp_s,conf_get_tp_s,avg_interactive_get_rt_ms,avg_get_think_time,conf_interactive_get_rt_ms,avg_queue_length,conf_queue_length,avg_get_service_time_ms,conf_get_service_time_ms,avg_set_service_time_ms,conf_set_service_time_ms,avg_get_time_in_queue_ms,conf_get_time_in_queue_ms,miss_rate,num_workers
6,1.4042135521795749,0.887932,1.123823,1.546632,2.2364450000000002,5.816387719999968,0.0025811805511849134,2869.3817204301076,3100,13.572748474646376,1.0271148604847247,1.840654178806643e-05,0,0.06654469024648448,0.0006155354832340827,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15185729944444964,0.0009901676563708623,0,0,1.1401030582269227,0.0024601928552991713,0,0,0,8
12,1.4803763284466682,0.96242,1.179524,1.561032,2.2791442,6.3478108299999825,0.005245928407829781,5586.118279569892,6070,33.65682102139845,1.0553039915420137,1.878712141271855e-05,0,0.0995437606711337,0.004894826281667116,0,0,0,0,0,0,0,0,0,0,0,0,0,0.48711186909177706,0.001355617675491457,0,0,1.1807287300085272,0.001844798324657585,0,0,0,8
24,2.1727121156068674,1.179424,1.49303,2.107256,5.365399,8.3450591,0.002869076899241493,8290.70430107527,8782,28.25371665637529,1.4268771077038604,2.05270649963588e-05,0,0.45219608577620607,0.0016572183669777021,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0430732437092716,0.0018710094704893292,0,0,1.5097557308210847,0.0023507598861512323,0,0,0,8
48,4.619053170932363,2.965077,3.657375,5.539545749999999,8.4821305,11.806271149999997,0.0036932255974148286,8920.462365591398,9337,31.019556228776256,2.6693822496362714,2.106125165289903e-05,0,2.8067381209717195,0.0030031241368328747,0,0,0,0,0,0,0,0,0,0,0,0,0,10.883827565715167,0.003925499902612536,0,0,1.6053339823065977,0.00221010817567861,0,0,0,8
96,9.99895968086528,7.4027027499999996,9.261569,12.119652,13.9108949,20.890585870000002,0.005082102555121615,8925.225806451614,9467,34.99589450158871,5.356896115384569,2.111907895405797e-05,0,8.184424963758035,0.0046471212272183975,0,0,0,0,0,0,0,0,0,0,0,0,0,34.728490951103915,0.004578539353104151,0,0,1.6123653359084926,0.00220359979213452,0,0,0,8
192,20.89705353370448,17.436665,20.068184,23.079708,26.761918,39.91783628,0.00826851728891997,8877.682795698925,9800,82.19694881430198,10.791751337121779,2.1881252511886437e-05,0,19.07259409671467,0.00777405097470468,0,0,0,0,0,0,0,0,0,0,0,0,0,82.64244762600916,0.004821668214706988,0,0,1.6176290945908214,0.0022570819174255147,0,0,0,8
288,31.131875261760747,27.214213,30.358085,33.920116,38.0897066,50.788937640000015,0.008816861117616814,9059.102150537634,9660,30.817599955654835,15.873778030867783,2.1836965752379975e-05,0,29.344091079914886,0.008491084284742536,0,0,0,0,0,0,0,0,0,0,0,0,0,130.69583553166098,0.0046798857174476976,0,0,1.5827862379748756,0.002153854174194346,0,0,0,8
6,1.450777107892467,0.913137,1.165142,1.612164,2.3330946,5.860553399999999,0.002642009282320537,2798.435483870968,2975,11.442927388081015,1.0533968932103002,1.8630679799965034e-05,0,0.0670231661104803,0.0006648965080965449,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14278523522167724,0.0009778909669561824,0,0,1.1823016406709586,0.0025101664745726493,0,0,0,16
12,1.524360478428886,0.985922,1.21904,1.629234,2.3812515000000003,6.47511325,0.0020600338045506567,5442.612903225807,5938,24.895819244106665,1.0831006072826341,1.9311066427218112e-05,0,0.09727186031278466,0.0005994535133521681,0,0,0,0,0,0,0,0,0,0,0,0,0,0.48523400564640246,0.0013661780303013808,0,0,1.2237893953479415,0.0019280661002863163,0,0,0,16
24,2.0822777359412528,1.168336,1.459635,2.002661,4.866805799999999,7.9390257600000025,0.0026497240887205847,8553.489247311827,9019,28.510254424949025,1.3818896860967889,2.104654881708967e-05,0,0.1565558972965192,0.0006197974180884237,0,0,0,0,0,0,0,0,0,0,0,0,0,1.032146222160484,0.002131691339872977,0,0,1.7061263287729518,0.0025448897445115343,0,0,0,16
48,3.9894837519532187,1.89995,2.675978,6.60032,7.693000999999999,10.525757759999998,0.0037964832172915144,9920.887096774193,10411,27.107343196281874,2.3956894378320968,2.3449069227788655e-05,0,0.9655341890976191,0.002385480403062714,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7762296880969606,0.0036969037964439365,0,0,2.7865633329583224,0.003265291533841001,0,0,0,16
